"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"1664";"8e arrondissement";NA
"1665";"tout est problematique";NA
"1666";"Place de la Concorde";NA
"1667";"Champs élysées";NA
"1668";"Les rues étroites ou les véhicules motorisés piaffent derrière vous. les feux rouges ou les sas à vélos ne sont pas respectés et squattés par les motos";"on est loin de la sérénité liée à ce type de transports, c'est plutot la ""guerre"" avec les automobilistes surtout en cas de fort traffic. Il faut vraiment être motivé pour rouler en vélo dans Paris tous les jours, acte militant."
"1669";"Je comprend et je vois les efforts de la mairie en faveur du vélo, mais je trouve que certaines initiatives sont très dangereuses et contre productives. Notamment les pistes cyclables situées entre le trottoir et le stationnement des véhicules (Boulevard Richard Lenoir, rue de Rivoli et Bd Arago et avenue Daumesnil pour ne citer qu'eux). Cette disposition est extrêmement dangereuse et m'a valu plusieurs accident (dont un grave) car cela créer un angle mort à chaque carrefour (un véhicule qui veut tourner ne voit pas le vélo engagé sur la voie car il est caché par le véhicule stationné), les véhicules qui se stationnent ne voient pas les vélo quand ils arrivent par derrière au moment où ils ouvrent leurs portière et enfin les piéton qui traverse ont le sentiment d'être sur le prolongement d'un trottoire (Bd de Magenta) et ne font pas du tout attention au traffic de vélos.";"Je suis un utilisateur quotidien de mon vélo et je circule dans tout Paris. Je totalise pour cette année environ 3000 km. Selon moi, les problèmes sont concentrés aux carrefours et aux axes où la congestion du traffic automobile rejoint les autres modes de transports (Bus, vélos principalement. Comme il est impossible de séparer les 3 modes de manière systématique je pense qu'il est plus sain de prévoir des axes de circulation où tous les modes de transports circulent mais avec une vitesse limitée à 30 voire 20km/h. En revanche sur les voies sur berges (rive droite et rive gauche), où il existe un vrai conflit entre piétons et vélos, il faudrait séparer les vélos des piétons. Enfin la politique de la ville contre les véhicules motorisés de manière systématique crée un climat de tension entre utilisateurs de la chaussée. Etant utilisateur de véhicules motorisés quand je n'ai pas d'autres choix (charges lourdes à transporter ou trajet lointain dans une zone pas ou mal désservie par les transports en commun par exemple) je comprend que la circulation est rendue impossible et le comportement parfois (souvent) agressif des conducteurs (souvent les chauffeurs de taxi ou les VTC, c'est à dire les utilisateurs quotidiens) envers les vélos."
"1670";"Bastille !!!!!!!!!!";"Dangereux dans les voies de bus lorsqu’ils nous frôlent"
"1671";"Arc de triomphe";"En progrès mais maintenir les efforts"
"1672";"place de clichy, concorde, bastille, rue du faubourg saint martin et rue lafayette";NA
"1673";"Les axes routiers où les pistes cyclables n'existent pas ou ne sont pas séparées des voies motorisées";NA
"1674";"avenue de versailles 75016";"la pollution atmosphérique est un vrai frein, surtout si je souhaite emmener un enfant en bas âge. il y a (encore) beaucoup trop de circulation de voiture/moto à Paris"
"1675";"Le 7ieme arrondissement est le quartier le moins ouvert aux vélos selon moi, dangereux, pas assez de pistes cyclables et trop de rues à sens unique contrairement à la rive droite";"Je rêve qu un jour paris devine aussi pro vélo qu à conpenhague, que l on puisse complètement vivre et se déplacer sans voitures (solutions de livraisons plus simple pour de gros chargements/déménagements par ex avec des carrioles)"
"1676";"le boulevard Magenta et sa fameuse piste cyclable au milieu des piétons, l'exemple type de ce qu'il ne faut pas faire en matière d'aménagement vélo.";"Cela s'améliore d'années en années même si tout est encore pensé avant tout pour les voitures."
"1677";"place de l'étoile";"adepte du vélo depuis 1976, j'estime que la pratique s'améliore"
"1678";"les champs elysees";NA
"1679";NA;"En 10ans la situation des cyclistes s'est grandement améliorée à Paris, les véhiculent dans les rues nous respectent plus et les pistes cyclables sont plus nombreuses, mais les livraisons empiètent toujours sur notre espace sans vergogne. D'un autre côté, les cycliste respectent de moins en moins le code de la route et deviennent parfois un danger pour les piétons."
"1680";"les Champs-Elysées et la place de la Bastille";"Les rues à sens unique pour les voitures mais à doubles sens pour les vélos restent très dangereuses. Les utilisateurs de vélib donnent souvent une mauvaise image du cycliste par leurs incivilités et infractions."
"1681";"Concorde";"Risque. Pratique."
"1682";"Grand boulevard 
Rue de Rivoli";"Il faut permettre les vélos dans les transports en commun"
"1683";"Les voies cyclables  qui ne sont pas respectées!!!!";"Dangereuse car personne ne respecte les vélos, ni la police, ni les voitures, ni les piétons et surtout les motocyclistes."
"1684";"Place de la Concorde";NA
"1685";"Partout où les pistes cyclables sont sur des trottoirs (exemple les quai rives droites de trocadéro aux tuileries) et où les pistes sont réalisées avec des separaifs type bordures en saillie du bitume (exemple boulevards des maréchaux)";"L’interdiction de transport dans le métro est archaïque"
"1686";"bd magenta + bd barbès";NA
"1687";"Grand axes très fréquentés";NA
"1688";"Boulevard Magenta
Boulvard Malsherbes 
Av. De Villiers

";"Je pense que la police est très tolérante vis-à-vis des autres listes motocyclistes qui utilisent les bandes cyclables comme des aires de stationnement ou d'arrêt pour téléphoner et autre.
Dans la mentalité des automobilistes les cyclistes sont seulement tolérés
Les pistes et les bandes cyclables doivent être conçues par des cyclistes pas par des technocrates
Utiliser les anciennes voies ferrées abondonnees comme autoroutes cyclables... Interdites aux piétons motos et autres véhicules.
Réduire le nombre de voitures à Paris"
"1689";"Trafic lourd des véhicules motorisés.
Les voitures qui se garent sur les pistes cyclables, sans conséquence.
Pistes cyclables qui ne sont pas continues (exemple: côté sud du boulevard Brune).
Conducteur de voiture qui ne respecte pas les bicyclettes.";"J'aimerais qu'il y ait un moyen de changer l'attitude des conducteurs qui ne respectent pas les bicyclettes. La plupart des drivers sont OK. Certains semblent penser que les bicyclettes n'appartiennent pas sur la route, ou que seules les voitures devraient être sur la route."
"1690";NA;"Réduire le stationnement illicite de véhicules sur les pistes cyclables"
"1691";"1) Les rues que tout le monde pensent être piétonnes mais qui ne le sont pas, par ex: rue des Franc Bourgeois, rue du Faubourg du Temple, rue René Boulanger (insultes fréquentes des piétons qui ne marchent pas sur le trottoir et qui vous insultent après qu'on les klaxonne). Les piétons de façon générale ne font pas du tout attention aux vélos, comme s'ils ne les considéraient pas comme un véhicule. 
2) Les grands axes, avenues, boulevards, car on se prend les pots d'échappements des motos + voiture. Trop désagréable. Les voitures font de place aux vélos en l'absence de piste cyclable. 
";NA
"1692";"Rond Porte Maillot";"Stationnement des véhicules sur les pistes cyclables mettent en danger les cyclistes.  Répression et prévention peuvent être la solution."
"1693";NA;"Bande cyclable = pas suffisant ! Les autos les utilisent comme parking.
Il faut des PISTES cyclables <f0><U+009F><U+0098><U+0089>"
"1694";"Pistes cyclables et voies de bus occupées par des voitures en stationnement";"Plus de campagne pub pour le respect des vélos par les véhicules motorisés."
"1695";"Quais de la Seine, Boulevard Sebastopol";"L'idéal serait vraiment d'agrandir le réseau de pistes séparées de la circulation et idéalement à double sens partout dans Paris encore réant notamment des axes centraux. Les projets actuels de la rue de Rivoli et des quais de Seine sont un bon début !"
"1696";"Dans le centre et sur les grands axes";"Trop de voitures et scooters
Trop pollué"
"1697";"Place d'Alésia, Denfert Rochereau";"Faire respecter les pistes cyclables"
"1698";"Place de Clichy. Et globalement tous les axes sur lesquels la voie cyclable est sur la droite des voies de circulations puis après un carrefour à gauche. Et dans les Rue comme la Rue Caulaincourt qui est en montée la cohabitation avec les bus est difficile lorsque ces derniers arrivent à leurs arrêts mais que nous sommes au même niveau. Ils se rabattent dangereusement sur nous ou bien nous klaxonnent avec leur cloche.";NA
"1699";"place de la concorde";"faire respecter aux motorisés les aménagements cyclables"
"1700";"Place Charles de Gaulle";NA
"1701";"Tout paris !";"Les scooters sont les pires ! Ils roulent sur les trottoirs , ne respectent pas les limites les priorités etc"
"1702";"La Préfecture de Police: pour son hostilité, son inefficacité,  son manquement à la protection des cyclistes et à son immobilisme dans le développement de la politique cyclable";"Je répète: ""l'ennemi"" pour l'instant du cyclisme urbain à Paris, c'est la Préfecture de Police. Il faut avoir du coeur et le courage de défendre son civisme de cycliste, ses droits contre des conducteur motorisés inciviques, déjà irrespectueux des règles élémentaires du code de la route à tous les niveaux et pas seulement vis à vis des cyclistes. Tant que l'ensemble des autorités ne seront pas persuadées que le cyclisme est à prioriser devant la voiture, les comportements évolueront peu et lentement. Il faut renverser notre culture automobile bien ancrée dans l'inconscient. Gros travail."
"1703";"Grands Boulevards, avenues. Les pistes cyclables doivent être protégées de la circulation automobile (et scooter). Les vélos roulent maintenant sur la voie du milieu car les pistes sont encombrées de véhicules en stationnement ou de piétons et donc impraticables";"De réels efforts depuis des années mais des solutions pas toujours adaptées , ex: bandes cyclables respectées par personne et au final dangereuses"
"1704";"Poteaux en bordure de piste, yoyo avec les bus";"Communiquer autour du plaisir du vélo dans Paris plutôt que sa fonctionnalité"
"1705";"tout Paris !";"C'est une horreur de faire du vélo à Paris : les pistes cyclables sur le trottoir sont si fines qu'il est impossible de doubler sans risquer de tomber ou de heurter un piéton. Les voitures ne laissent jamais la priorité."
"1706";"rond point de l'étoile";NA
"1707";"Les grands carrefours";"Il faudrait commencer par sensibiliser les autres cyclistes au code de la route"
"1708";"carrefour bvd magenta / rue de la fayette. l'accès à la PC sur la rue de la  fayette en descendant est très difficile
";"Aujourd'hui le plus ennuyeux ce sont mes collègues cyclistes qui ne font pas ou plus attention à rien et principalement les Vélibs utilisés par des usagers ignorant le code la route. Donc je pense abandonner le vélo pour redevenir piéton :-( d'ici 5ans avant que l'on nous impose un examen."
"1709";"Pont autre lite quand on veut aller sur le boulevard de l'hôpital en venant de Gare de Lyon";"Il nous faudrait plus de journée sans voiture à Paris"
"1710";"place de l etoile";NA
"1711";"Les rond-point";NA
"1712";"Tous les grands axes sans piste cyclable différenciée des voitures";NA
"1713";"Barbes- Gare du nord";"1. Verbaliser les voitures et motos gares dans les pistes cyclables. 2.Que les vélos aient la préférence dans les piste cyclable (e.g. Bd Magenta où c'est les piétons sont prioritaires dans les pistes cyclables)"
"1714";"Boulevard de Magenta";NA
"1715";"Boulevard Barbès";NA
"1716";"Traversée du périphérique via les voies d'accès lors de trajets banlieue/Paris";"Etendre au-delà de la petite ceinture la possibilité de pouvoir louer un vélo (exemple : cas des villes de Chatillon et Fontenay aux Roses non équipées de station de vélo de type VELIB, alors qu'il existe la coulée verte, un site protégé tout indiqué pour rejoindre Paris)"
"1717";"grandes places (concorde, etoile ...)";NA
"1718";"rond point ,étroitesse des voies à contre sens";"sur les dos d'âne , créer un passage d'environ 50 cm pour passer sans être secouer"
"1719";"Les grands ronds-points/ carrefour (Bastille, Concorde....)";NA
"1720";"bastille et république";NA
"1721";"nord-est de la ville (Chapelle, Gare du Nord, Pajol, Marx Dormoy, etc.)";NA
"1722";"La rue Lafayette dans le sens sud-ouest nord-est. Vélos dans les voies de bus, très encombrées et compliquées aux heures de pointe.
La traversée de la Concorde.
la piste cyclable le long de la Seine entre Bir-Hakeim et Concorde : mal signalée (donc plein de touristes sur la piste, et plein de vélos à contresens là où il n'y a pas de place pour ça) et mal entretenue, plein de trous !
Globalement plein d'endroits où la piste cyclable passe de la droite à la gauche de la chaussée, sans marquage au sol, ou signalétique adaptée (comme à Berlin par exemple) pour pouvoir traverser safe.";"Moi, c'est devenu mon unique moyen de transport, mais je déplore le comportement de certains cyclistes, qui semblent vouloir prendre une revanche sur je ne sais quoi et klaxonnent à tout va, en ne laissant jamais la priorité aux piétons. Ce qui contribue à dégrader l'image des cyclistes dans son ensemble ! Dommage... On pourrait être copains avec les piétons."
"1723";NA;"Plus que des changements d'infrastructures ou autres, pour améliorer les déplacements de tous les usagers, il suffit de respecter un minimum le code de la route, et être aimable avec piétons et automobilistes (signe de tête, de la main, sourire etc). Être attentif et anticiper les déplacements permet de traverser de grands carrefours qui semblent dangereux (Nation, Concorde, Bastille etc) sans problème. Faire attention aux autres, simplement."
"1724";"Difficulté très importante de franchissement de la place de la Bastille";NA
"1725";"Tous les endroits ou il n'y a pas de piste cyclable isolée. Les pistes cyclables non-isolée des piétons ou des voitures, par exemple sur les Boulevards des Maréchaux au sud de Paris (les pistes cyclables devraient etre isolées avec du béton et pas seulement avec de la peinture). A Porte d'Orléans c'est le chaos tous les jours, avec des voitures bloquées aux feux et les piétons qui sont toujours sur les pistes cyclables. Je prends l'itinéraire qui part de l'avenue Reille jusqu'à Issy-les-Moulineaux, et souvent la piste cyclable est coupée, et on droit passer sur la route. Les voitures passent trop près du vélo, il y a des voitures qui tournent à droite d'une manière dangereux, c'est aussi très pollué (j'ai des problèmes respiratoires).";"Les voitures et les scooters passent trop près des vélos et il n'y a aucun respect des cyclistes. J'ai peur pour des enfants portés sur les sièges sur les vélos, et pour des enfants qui circulent avec leurs parents. Je risque des accidents tous les jours à cause des conducteurs et des motoristes. C'est très pollué. Je prends mon vélo pour aller au travail tous les jours et j'ai des problèmes respiratoires. Le pire c'est des scooters qui pollue le plus et qui se met devant les vélos au feux. J'ai l'impression que les pistes cyclables étaient fait par des non-cyclistes, tellement elles ne sont pas pratiques. Par exemple, quelle idée de les mettre sur les trottoirs ou on doit éviter des accidents avec des piétons qui se promènent sur les pistes, ou de les couper brusquement pendant le chemin. Elles sont aussi rarement bien isolées avec du béton qui remontent. Du coup, souvent il y a des voitures, des scooters ou des camions qui se garent sur les pistes. Mais le pire c'est qu'il n'y a pas de pistes partout et on risque des accidents et on doit respirer le gaz d'échappement en continue car on reste bloqué derrière les voitures/scooters."
"1726";"Boulevard st-michel ou sebastopol, où les rouler doivent rouler avec bus et taxi. C'est dangereux et il n'y a pas la place.";"Paris a une grande marge de progression en ce qui concerne les équipements. Mais le plus difficile à supporter au quotidien c'est l'hostilité des engins motorisés vis à vis des vélos et autres moyens de déplacement. Ils sont les rois."
"1727";"rond point du louvre devant la piramide";NA
"1728";"Les grands axes, les carrefour, les rues sans marquage clair pour les pistes cyclables";NA
"1729";"Les carrefours 
Les pistes cyclables peu empruntables, mal conçues";NA
"1730";"Les grands ronds points, les grands axes avec seulement couloirs de bus";NA
"1731";"Rond point de l’etoile,";"Laisser des voies rapides dédiées aux voitures dans Paris pour que le vélo puisse être pratiqué sur les routes avec davantage de sécurité"
"1732";"Les grandes avenues où les voitures roulent vite et souvent proche des vélo car pas de pistes cyclables séparées de la circulation. 
Les traversées des grandes places est aussi problématique.";"Trop souvent la création de pistes cyclables se fait au détriment des piétons ce qui induit des conflits.
Le mieux est un aménagement cyclable isolé du trafic routier suffisamment large pour qu'un vélo puisse croiser ou doubler un autres.
Éviter les pistes cyclables qui montent et descendent (des bateaux de trottoir) ou qui font des angles difficiles à appréhender pour éviter des obstacles.
Sensibiliser les automobilistes aux risques qu'ils font courir au vélo par exemple en tournant a droite après avoir doublé un vélo... Ou à ceux qui se garent sur les pistes cyclables ou couloir de bus et obligent à faire un écart de route."
"1733";NA;"Trop de véhicules circulent ou stationnent sur les pistes cyclables, y compris police, cars de CRS, utilitaires de la ville de paris (PAM), camionnettes EDF, de la Poste, etc.
Trop de bouts de verre dans les pistes cyclables (près des caniveaux)."
"1734";"place de l'étoile";"Je pense qu'il faut plus de respect des usagers de la route entre eux (cyclistes compris) et vraiment diminuer la place de la voiture et camions pour mieux respirer et avoir plaisir à utiliser son vélo en toute sécurité. Il faut consommer local et développer une offre transport public qui ne pollue pas (90% des bus sont extrêmement polluants); je remercie la mairie de Paris pour sa mise en place d'une signalisation du  triangle inversé ""tourne à droite"" (ou autres flèches) car sans moteur le vélo est pénalisé s'il s'arrête à tous les feux alors qu'il n'y a aucun piétons."
"1735";"Saint Michel";NA
"1736";"Le long de la rue d'Alésia, Tolbiac et Convention où les double-bus circulent: 1/ pour le danger d'être dépassé par un bus qui serre le cycliste; 2/ parce que la chaussée est toujours très déformée sur cet axe à cause du passage du bus";"Une éducation routière pour les cyclistes devrait être mise en place car il y a aussi des règles à respecter lorsqu'on est cycliste...L'utilisation du Vélib' semble autoriser beaucoup d'abus !"
"1737";"Ouest parisien : 7e, 16e en particulier.";"C’est beaucoup mieux qu’il y a 10 ans."
"1738";"Les boulevards ou grands axes ou les vélos roulent avec les bus. Avec des véhicules qui tournent dans les rues à droite. Et qui ne voient pas forcément les vélos.";"Je travaille tard pour rentrer tard chez moi et ainsi apprécier le silence qui entoure mon vélo pendant ce trajet."
"1739";"Rue Lafayette, 75010";"xxx"
"1740";"Rond point Bastille 
Rue Richer";"La circulation à contre sens pose problème face au voitures et camions, dans des rues étroites. Les vélos doivent rouler en extrêmes bordure de route, zone comportant un revêtement inégal."
"1741";"Les maréchaux en travaux (tramway)";"Limiter l'horreur de mettre des pistes cyclables au milieu des trottoirs (magenta, barbes, Château Rouge)"
"1742";"rue lafayette
bvd de strasbourg
bvd de la chapelle
bvd de l'hopital
pont d'austerlitz";"L'usage du velo dans Paris est pratique mais souvent désagréable (nuisances sonores et surtout mauvaise qualité de l'air). Souvent trop proche des véhicules motorisés et beaucoup de déchets sur les pistes cyclables (crevaison fréquente). Pas assez d'emplacements pour garer son vélo"
"1743";"Les pistes cyclables sur les trottoirs";NA
"1744";"Place de la concorde. Grand flux de voitures dans lequel on se sent emporté. Une peur en naît";NA
"1745";"Les grandes places (Bastille..)";"Besoin de stationnements surs pour éviter les vols !"
"1746";"les grandes places types place de l'etoile etant donne le trafic consequent de voitures ce qui est logique";"en net progrès, à poursuivre pour une qualité de vie meilleure (nuisance sonore, pollution) pour tous (touristes, riverains...)"
"1747";"Pas assez de pistes cyclables sécurisées";NA
"1748";"Les grands axes routiers";NA
"1749";"La petite couronne entre Jaurès et Anvers: bouts de verres partout
La petite couronne entre Anvers et Villiers ainsi que le boulevard Lafayette vers le boulevard Magenta et le boulevard du faubourg Montmartre: non respect des piétons pour la piste cyclable 
Axe Châtelet gare de l'est ainsi que le boulevard Lafayette dans le sens opposé: taxi et bus dangereux
Toutes les pistes cyclables coupées par les voiture (refus de priorité): rue Richard Lenoir, le canal St Martin, l'intersection au métro La Chapelle etc.
Rue de Tanger et Curial: pistes cyclables encombrées de véhicules stationnés
Rue Ordonner: piste cyclable non respecté par les automobilistes
Devant Gare du nord: taxis (et particuliers les scooters taxis) accélérant en pleine zone mixte";"Le vélo est un moyen de transport pouvant donner une réel alternative à celle du métro ou du bus, non polluant, donnant l'opportunité d'une pratique sportive. Je ne pourrai sans doute plus m'en passer"
"1750";"Rue de Rivoli";NA
"1751";"Concorde
Barbes : impossible de circuler sur la piste cyclabe qui est un parking...";"Se serait bien de faire faire respecter la loi sur l'usage des pistes cyclabes (qui ne sont pas des parking ou des voies pour les scooters et les motos voir les voitures) et pour les sas a velo"
"1752";"place denfert";NA
"1753";"republique";NA
"1754";"Extrêmement dangereux on ne peut pas traverser la ville en famille, aucun trajet transversal sécurisé (effort sur le chemin centre de la ville uniquement)";"2017 : Imagine t on un enfant de 14 ans sur un vélo ? Donc non ce n est pas un mode de transport !"
"1755";"À coté du périphérique";NA
"1756";"tous les carrefours";"je pense que les piétons ne respectent pas les pistes cyclables et souvent des voitures se garent dessus"
"1757";"Toutes les portes menant au périphérique.";NA
"1758";"avenue de la République";NA
"1759";"D'un point de vue général, les places et rounds points très fréquentés (Maillot / République / Nation / ...). Suivent les axes très roulants pour les véhicules motorisés ... grands boulevards et Maréchaux.";"Il est important de responsabiliser les conducteurs. Voire de les éduquer ! Le non respect des règles élémentaires de conduites est pour moi le principal danger en ville. A Paris c'est chacun pour soi ! Cela est valable pour tous chauffeurs / conducteurs et cyclistes. Les cyclistes se plaignent (à juste titre) mais ils enfreignent les règles aussi ! Il faut verbaliser bcp plus certains comportements : stationnement sur piste / utiliser les voies cyclables ou de bus (scooters et autres non autorisés) et respecter les feux. Interdire la musique pour les cyclistes ... irresponsables !"
"1760";"- Rond point Bastille : où se placer quand on fait ""boulevard de la Bastille / Boulevard Lenoir"" la continuité des pistes nous place à gauche, mais comme on continue tout droit on est sensé être à droite...

- passer de la rue de la coutellerie à la rue Saint Martin. Le couloir de bus est à droite, les voitures, qui sont à gauche, peuvent couper la trajectoire par l'avenue Victoria...

-  croisement de la rue du faubourg Saint Martin (provenance Gare de l'Est) et de la rue La Fayette. Les vélos sont à droite. Il y a 2 files, celle qui continue tout droit (à gauche sur la chaussée), celle qui tourne à droite (à droite sur la chaussée). Les voitures qui tournent à droite ont un feu rue La Fayette qui crée une file. On peut vite se retrouver piéger, à vouloir continuer tout droit mais gêné par cette file"")";NA
"1761";"Tous les grands axes";NA
"1762";"Les grands axes, les gros carrefours, les endroits où les voies cyclables sont sur le trottoir ou non séparées physiquement des autres véhicules";"C'est de mieux en mieux mais encore beaucoup de progrès à faire, notamment en limitant la circulation des voitures"
"1763";"TOUTES LES ROUTES SANS PISTES CYCLABLES POUR VELOS UNIQUEMENT";"TRES DANGEREUX CAUSE IRRESPONSABILITES DES VELOS VOITURES ET PIETONS ET ABSENCE DE SANCTION AUX INFRACTIONS CONSTANTES DU CODE DE LA ROUTE (vitesse, feux grillés par beaucoup, absence d'attention, portières). Un cycliste désespéré du grand n'importe quoi et qui utilise au quotidien son velo et risque sa vie à chaque parcours"
"1764";"1. Traverser les portes du périphériques ! Porte de Montreuil, porte Dauphine par exemple etc ! PORTE de Bagnolet est plus apaisée. 
2. Lorsque le bd Diderot passe en sens unique en arrivant sur la Gare de Lyon. Il y a une piste cyclable sur les trottoirs et à un endroit, il y a des stationnements 2 roues, qui sont bien garés mais dont les coffres débordent entièrement sur la piste cyclable... 
3. Le contre sens cyclable rue de ormeaux dans le 20ème, je n'en ai jamais d'autre aussi mal fait ailleurs à Paris, il mesure environ 60cm, avec 3 gros dos d'âne 
4. Les pistes cyclables comme celle de les bd de charonne/menilmontan, belleville/villette= pas de visibilité sur la piste cyclable pour les voitures sur. La route car stationnement entre les deux. Donc danger quand les automobilistes tournent à droite... ne pas hésiter sur la signalétique flashy !";NA
"1765";"sur les grands axes, soit on se fait tailler un short par les automobilistes qui nous considèrent comme peu important, soit on doit rouler avec les bus, ce qui n'est pas forcément mieux";"la mauvaise cohabitation entre voitures et vélos est avant tout un problème d'éducation, et ceci est valable dans les 2 sens. Beaucoup d'automobilistes ne nous calculent même pas, mais je vois aussi des cyclistes faire n'importe quoi (rouler au milieu du trafic ou dans les angles morts des voitures par exemple). Une vraie bonne campagne de sensibilisation serait déjà un premier pas, puis de l'éducation dès l'école (comme dans les pays scandinaves) serait une vraie solution à long terme."
"1766";"les carrefours (déjà été renversée par une voiture qui n'a pas respectée ma priorité) soldé par une fracture du bassin";"automobilistes de plus en plus agressifs et des pratiquants du vélo qui ont des comportements très dangereux (surtout pour eux mêmes) feux tricolores non respectés"
"1767";"Place de la Bastille";NA
"1768";"Boulevards extérieurs au sud. A chaque croisement dangereux on enlève la piste cyclable et on en remet une une fois le danger dépassé";"Les motos/scooters utilisent les pistes cyclables. Les pistes cyclables ne sont pas non plus des places de parking pour les voitures..."
"1769";"Autour de la gare du nord, le volume de traffic est tel (rue la fayette et Blvd Magenta) que parfois on peine a passer a vélo. Par ailleurs sur l'itineraire du bus 91 (Montparnasse-Austerlitz) la piste partagee bus velo est si etroite et le volume de bus et de taxi si important qu'il est aussi difficile d'avancer à bon train.";"Je circule beaucoup a Paris et le trafic ne me fait pas peur mais je comprends les gens qui ont peur. La conduite est aggressive, les 2 roues brulent les feux, les piétons circulent dans les pistes qui sont aussi des parkings d'appoint, les taxis qui utilisent les couloirs de bus doublent au ras... 
Il faut à mon sens: avoir des pistes de couleur - comme a Londres ou les super highways sont bleues - quand celles ci sont une prolongation du trottoir (canal de l'ourq, rue la fayette en contresens, avenue Jean Jaures, blvd McDonald etc.) , mettre en place des panneaux de sensibilisations pour les piétons qui se croient tout permis, prendre en compte les besoins des camions de livraison dans l'aménagement des pistes, verbaliser les cyclistes qui grillent les feux et interdire l'usage de casques musique anti-bruit à ceux ci et développer le réseau de signalisation d'itinéraire à vélo qui reste très faible. Il faudrait aussi accroitre le nombres d'emplacement de parking vélos et équiper les gares de parking sécurisés comme à Amsterdam. Il faudrait finalement que la SNCF développe une meilleure politique vélo à bord de ses TGV notamment en période de grandes vacances. 
Finalement il faudrait emmener Anne Hidalgo faire un tour de vélo dans Paris aux heures de pointe pour que la mairie se rende compte de la situation."
"1770";"Les portes de Paris (Porte de la Villette par exemple)
Les pistes cyclables trop étroites, situées à côté des trottoirs (comme à Barbès)
Les changements de côté soudains des pistes cyclables (comme en arrivant du boulevard Richard Lenoir, en allant vers le Canal Saint-Martin)

";"Ce serait bien de développer les pistes cyclables à double sens, mieux identifiées par les piétons car plus larges.
Ce serait bien d'expliquer aux conducteurs de deux roues motorisées qu'ils doivent faire attention aux cyclistes (campagne de communication ciblée ?).
Ce serait bien de privilégier le partage des rues avec les véhicules à moteur en identifiant par un marquage au sol très explicite la partie réservée aux vélos.
Ce serait génial de réserver la circulation en ville aux vélos et aux véhicules utilitaires et de l'interdire aux Parisiens pour leurs déplacements intramuros !"
"1771";"Nord est parisien";"Derrière les discours de la ville il y a ma pratique quotidienne a vélo et là entre les 2 il y a un monde!!"
"1772";NA;"Que les piétons fassent aussi attention aux vélos sans utiliser les pistes cyclables pour rouler les poussettes d'enfants ou les valises et qu'ils regardent avnt de les traverser/couper à pied"
"1773";"Les ronds points";"Trop de pollution trop de scouter à essence trop de bruit.Paris sans voiture serait  nécessaire.!"
"1774";"Pas assez de sécurité par rapport au voiture, voirie quasi inexistante pour les vélos par rapport aux voitures";"Favoriser l'emploi du vélo, pour minimiser le traffic automobile"
"1775";"Tous les endroits ou il n'y a pas de piste cyclabe. Par exemple, en ce moment je travaille à la Défense et je vis dans le 7ème à école militaire (au début c'est facile il y a une piste cyclable mais ensuite...) !";"Il manque des pistes à Paris. Je ne me sens pas en sécurité sur mon vélo lorsque je le prends pour me rendre à divers endroit de la capitale. Certains cyclistes n'ont pas peur d'emprunter les routes sans piste cyclable mais c'est très dangereux... Il faut promouvoir les pistes comme aux Pays-Bas ou au Danemark, là vous pouvez circuler en toute sécurité à vélo !"
